0.11,0.11,0.25,0.25,0.25,0.11,0.11,0.11,0.11,0.25,0.25,1.0,0.25,1.0,0.25,1.0,0,1.0,0.25,0.25,0.11,1.0,0.25,0.25,0.11,0.11,1.0,0.25,0.11,0.25,0.11,
0.06,0.06,0.11,0.11,0.11,0.06,0.06,0.06,0.11,0.11,0.25,0.25,0.25,1.0,0.11,0.25,1.0,0,1.0,1.0,0.25,1.0,0.25,1.0,0.25,0.11,0.25,0.11,0.11,0.11,0.06,
0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.11,0.11,0.25,0.25,1.0,1.0,0.11,0.11,0.25,1.0,0,1.0,1.0,0.25,0.11,0.25,0.25,0.11,0.11,0.06,0.06,0.06,0.06,
0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.06,0.06,0.11,0.11,0.25,0.25,0.06,0.11,0.25,1.0,1.0,0,0.25,0.25,0.25,1.0,1.0,0.25,0.11,0.11,0.11,0.06,0.11,
0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.06,0.06,0.11,0.11,0.25,0.25,0.06,0.06,0.11,0.25,1.0,0.25,0,0.11,0.06,0.11,0.11,0.06,0.06,0.04,0.04,0.04,0.04,
0.06,0.06,0.11,0.25,0.25,0.11,0.11,0.11,0.06,0.11,0.11,0.25,0.11,0.25,0.11,0.25,1.0,1.0,0.25,0.25,0.11,0,1.0,1.0,0.25,0.25,1.0,0.25,0.25,0.25,0.11,
0.06,0.06,0.11,0.25,0.25,0.11,0.11,0.11,0.04,0.06,0.06,0.11,0.06,0.11,0.11,0.25,0.25,0.25,0.11,0.25,0.06,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,
0.04,0.04,0.06,0.11,0.11,0.06,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.25,0.06,0.11,0.25,1.0,0.25,1.0,0.11,1.0,1.0,0,1.0,0.25,0.25,0.25,0.25,0.11,0.11,
0.04,0.04,0.06,0.11,0.11,0.06,0.06,0.06,0.04,0.04,0.06,0.06,0.11,0.11,0.06,0.11,0.11,0.25,0.25,1.0,0.11,0.25,1.0,1.0,0,1.0,0.25,0.25,0.25,0.11,0.25,
0.04,0.04,0.06,0.11,0.11,0.06,0.06,0.06,0.03,0.04,0.04,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.11,0.25,0.06,0.25,1.0,0.25,1.0,0,0.25,0.25,1.0,0.11,1.0,
0.11,0.11,0.25,1.0,1.0,0.25,0.25,0.25,0.06,0.11,0.11,0.25,0.11,0.25,0.25,1.0,1.0,0.25,0.11,0.11,0.06,1.0,1.0,0.25,0.25,0.25,0,1.0,0.25,1.0,0.25,
0.11,0.11,0.25,0.25,1.0,0.25,0.25,0.25,0.04,0.06,0.06,0.11,0.06,0.11,0.11,0.25,0.25,0.11,0.06,0.11,0.04,0.25,1.0,0.25,0.25,0.25,1.0,0,1.0,1.0,1.0,
0.06,0.06,0.11,0.11,0.25,0.11,0.11,0.11,0.03,0.04,0.04,0.06,0.04,0.06,0.06,0.11,0.11,0.11,0.06,0.11,0.04,0.25,1.0,0.25,0.25,1.0,0.25,1.0,0,0.25,1.0,
0.11,0.11,0.25,0.25,1.0,0.25,0.25,1.0,0.04,0.06,0.06,0.11,0.06,0.11,0.11,0.25,0.25,0.11,0.06,0.06,0.04,0.25,0.25,0.11,0.11,0.11,1.0,1.0,0.25,0,0.25,
0.06,0.06,0.11,0.11,0.25,0.11,0.11,0.11,0.03,0.04,0.04,0.06,0.04,0.06,0.06,0.11,0.11,0.06,0.06,0.11,0.04,0.11,0.25,0.11,0.25,1.0,0.25,1.0,1.0,0.25,0,
